N,Название,Ценник,Чего делать,Чего хотят,URL
74,Ведущий специалист (сметчик),,Учет смет по строительно-монтажным работам. Выборочный контроль за исполнением смет по строительно-монтажным работам. Осуществление выборочной проверки правильности расчетов...,"Высшее (техническое, инженерно-экономическое) образование. Опыт работы в области контрольно-ревизионной или сметной деятельности от 3 лет.",https://hh.ru/vacancy/42276546
75,Главный специалист по комплектации [id96734],,"Формирование сводных заявок на приобретение оборудования, материалов, комплектующих изделий на основе рабочей документации проекта. Анализ остатков МТР. Резервирование позиций свободного...","Высшее образование. Опыт работы в области поставок/комплектации энергетического оборудования, материалов и комплектующих не менее 3-х лет. ",https://hh.ru/vacancy/42286039
76,Специалист поддержки рабочих мест [id96341],,"Осуществлять техническую поддержку (2-я линия) стандартного набора инфраструктурных сервисов (корпоративная почта, антивирусное ПО и ПО резервного копирования данных, файл...",Вы отлично разбираетесь в Windows 7/8/10. У вас есть опыт работы с Microsoft Office 2010/2013/2016. ,https://hh.ru/vacancy/42312203
77,Главный системный администратор СУБД [id95081],,"Выполнение сложных работ по поддержанию инфраструктуры. Сопровождение СУБД, СРК. Управление непрерывностью и мощностями. Анализ инцидентов и проблем. Сервисная поддержка заказчиков...","Знание и понимание принципов построения и организации ЛВС сетей, знание стека протоколов TCP/IP, модели OSI. Опыт работы с SAN...",https://hh.ru/vacancy/42330089
78,Бизнес-аналитик (НСИ) [id32461],,"Разработка НМД на процессы управления НСИ (регламенты, методики, стандарты). Моделирование процессов управления НСИ. Разработка правил нормализации контента объектов НСИ. ","Готовность к освоению специфики различных направлений в бизнесе, обучаемость, ответственность, способность к принятию самостоятельных решений, аналитические способности, коммуникабельность. ",https://hh.ru/vacancy/42343429
79,Front-end разработчик (ReactJS)[id92962],,Участие в проектировании и разработке пользовательских и административных интерфейсов современной IdM-системы промышленного уровня.,"Опыт программирования на JavaScript от 3 лет. Свободное ориентирование в принципах ООП. Знание и опыт использования React/Angular, Redux, TypeScript. ",https://hh.ru/vacancy/42345665
80,Руководитель команды web- разработки/Web Development Team Lead [id86281],,"Управление командой разработчиков (backend, frontend). Планирование процесса разработки и сопровождения программного обеспечения. Контроль разработки микросервисов, разборки монолита. Выстраивание процессов CI...","Опыт управления процессом разработки и тех.специалистам в рамках проекта (от 10-ти человек) от 3-х лет. Оценка, анализ и...",https://hh.ru/vacancy/42346244
81,Руководитель команды мобильной разработки/ Mobile ApplicationTeam Lead [id86266],,"Управление и формирование команд разработки Android и iOS приложений, роль технического лидера. Участие в проектировании и разработке API взаимодействия мобильных...",Опыт создания и успешного запуска мобильных приложений. Опыт формирования и управления командой (-ами) разработчиков мобильных приложений от 3-х лет...,https://hh.ru/vacancy/42346297
82,Руководитель направления по механомонтажным работам,,"Организация входного контроля проектной и рабочей документации по УЗК, службой по организации и контролю СМР. Организация системы качества строительных работ...","Высшее образование. Стаж работы – в организациях, выполняющих инженерные изыскания, осуществляющих подготовку проектной документации, строительство, реконструкцию, капитальный ремонт объектов капитального строительства...",https://hh.ru/vacancy/42384412
83,Senior C# Developer [id 83864],,"Разработка REST-API сервисов, служб, настольных приложений. Взаимодействие с БД (crud-операции). Интеграция с другими подсистемами.","Уверенное знание C#. Понимание базовых принципов веб-разработки (протокол HTTP, HTML/CSS/JS). Опыт создания web-приложений и web-сервисов...",https://hh.ru/vacancy/42391214
84,Главный специалист по закупке категории Indirect,,"Анализ рынка и проведение закупочных процедур по выбору поставщиков сувенирной продукции, услуг типографии, рекламных и маркетинговых услуг. Разработка закупочной документации...",Опыт работы в рамках в рамках обозначенных выше категорий. Уверенное знание Excel. Опыт работы на электронных торговых площадках. ,https://hh.ru/vacancy/42410022
85,Главный специалист по закупке IT,,"Организация, проведение и сопровождение конкурентных/неконкурентных процедур закупок товаров/работ/услуг. Разработка закупочной документации, включая подготовку совместно с подразделениями-функциональными...",Высшее образование. Опыт работы в системе организации закупок ИТ-оборудования от 2-х лет. Верхнеуровневое знание 223-ФЗ приветствуется. ,https://hh.ru/vacancy/42410206
86,Главный специалист по закупке ИТ,,"Организация, проведение и сопровождение конкурентных/неконкурентных процедур закупок товаров/работ/услуг. Разработка закупочной документации, включая подготовку совместно с подразделениями-функциональными...",Высшее образование. Опыт работы в системе организации закупок ИТ-оборудования от 2-х лет. Верхнеуровневое знание 223-ФЗ приветствуется. ,https://hh.ru/vacancy/42410333
87,Специалист по договорной работе с функциями секретаря закупочной комиссии,,"Сбор данных и подготовка проектов договоров, дополнительных соглашений и протоколов разногласий с контрагентами. Согласование проектов договоров, дополнительных соглашений и протоколов...",Опыт работы с тендерными протоколами. Уверенное знание Excel. Опыт работы на электронных торговых площадках. Умение работать в режиме многозадачности. ,https://hh.ru/vacancy/42410518
88,Главный специалист по управлению рисками,,"Выполнение процедур по управлению рисками: идентификация рисков, оценка рисков, планирование мер по митигации рисков, мониторинг рисков. Использование ПО (Word, Excel...","Высшее профессиональное образование. Опыт по направлению - управление рисками, риск-менеджмент в проектах. Знание английского языка на уровне upper intermediate. ",https://hh.ru/vacancy/42418458
89,Специалист по закупкам travel услуг,,"Закупка услуг для проведения конференций (отели, кейтеринг, синхронный перевод, аренда оборудования, транспорт и пр.). Закупка услуг по размещению для проведения...",Опыт работы в travel-сегменте с аналогичным функционалом от 3 лет/ опыт организации учебно-тренировочных сборов/ семинаров/ конференций по спортивной...,https://hh.ru/vacancy/42421373
90,Архитектор Informatica [id 96582],,Разработка целевой архитектуры систем ETL и Data Governance. Аудит документов проектов развития. Контроль реализации проекта на соответствия целевой архитектурой и...,"Опыт работы со стеком Informatica как с ETL инструментарием (Informatica PowerCenter, Informatica BDM), знание ограничений, узких мест продуктов по совместимости...",https://hh.ru/vacancy/42425522
91,Инженер по монтажу сетевого оборудования [id83941],,"Выполнение работ по монтажу и обслуживанию СКС, ВОЛС. Поддержка оборудования ИТ-инфраструктуры. Поддержка работоспособности ИБП и оборудования коммутационных узлов. ","Знание правил монтажа СКС, ВОЛС. Наличие опыта по техническому обслуживанию сетевого оборудования (Cisco, Huawei), средств обеспечения бесперебойного электропитания (АРС, CHNEIDER...",https://hh.ru/vacancy/42447607
92,Главный специалист по информационной безопасности (Kaspersky) [id50897],,"Выполнение работ по анализу состояния ИБ в СЗИ, подготовка отчетов. Взаимодействие с другими подразделениями организации для устранения выявленных угроз/уязвимостей...","Опыт работы с Kaspersky (KSC, KES, KSLA, KESL, KSE). Приветствуется опыт работы с Check Point (web-фильтрация), IBM Security Guardium...",https://hh.ru/vacancy/42450313
93,Главный специалист по календарно-сетевому планированию [id97405],,"Подготовка и проверка исходных данных для объемного и календарного планирования. Анализ плана производства на исполнимость, подготовка предложений и рекомендаций для...",Высшее (техническое) образование. Опыт работы на аналогичной позиции в области оперативного управления производством в нефтеперерабатывающей отрасли не менее 1 года.,https://hh.ru/vacancy/42457899
94,"Руководитель направления информационно-технической поддержки, обучения на зарубежных рынках [id9852]",,Формирование планов по предоставлению технической поддержки для продвижения продукции компании на зарубежных рынках в соответствии с потребностями блока продаж и...,"Высшее техническое образование (инженер-технолог, инженер-химик). Профильный опыт работы от 3 лет минимум по направлению смазочных масел. ",https://hh.ru/vacancy/42458402
95,Главный специалист по коммерческим вопросам [id 98625],,"Развитие продаж катализаторов нефтепереработки для процессов каталитического крекинга, гидроочистки, гидрокрекинга, олигомеризации и т.д. Вывод на рынок новых продуктов и...","Высшее образование. Естественнонаучное или инженерно-техническое высшее образование, желательно в области. химии, нефтехимии или нефтепереработки. Наличие дополнительного образования в области...",https://hh.ru/vacancy/42461108
96,Ведущий специалист (сметчик) [id98742],,"Составление, проверка и согласование сметной документации на электромонтажные, пусконаладочные, слаботочные и строительные работы. Составление калькуляций стоимости работ на техническое обслуживание...","Высшее образование. Опыт работы на аналогичной должности в области электроэнергетики (эксплуатация электрооборудования, ЭМР, ПНР) не менее 3 лет.",https://hh.ru/vacancy/42462351
97,Главный специалист по обучению и развитию персонала [id98921],,"Организация обучения работников (в очном/заочном/дистанционном форматах). Поиск информации, взаимодействие с провайдерами для генерации идей и реализации совместных уникальных...",Высшее образование. Опыт в области обучения и развития от 3 лет. Опыт разработки глобальных проектов в области развития (управленческие и...,https://hh.ru/vacancy/42479255
