N,Название,Ценник,Чего делать,Чего хотят,URL
19,Специалист по безопасности системы SAP/ SAP Security [id9875],,Проведение анализа запросов на доступ к системам SAP в части обеспечения соблюдения требований Информационной безопасности Группы Компаний. Изменение полномочий по...,"Понимание принципов разделения полномочий пользователей в информационных системах SAP (матрица полномочий, функциональные роли, и т.д.). Общие теоретические знания в...",https://hh.ru/vacancy/41155615
20,Менеджер по развитию бизнеса на зарубежных рынках [id 63981],,"Развитие продаж катализаторов нефтепереработки для процессов каталитического крекинга, гидроочистки, гидрокрекинга, олигомеризации, депарафинизации и т.д. на рынках дальнего зарубежья. ","Высшее образование. Предпочтительно химическое, химико-технологическое или нефтегазовое. Опыт работы в продажах для нефтеперерабатывающей, нефтехимической и смежных отраслей (специальные химические...",https://hh.ru/vacancy/41162509
21,Backend-разработчик (Python) [59501],,Разработка и проектирование web-сервисов. Интеграция с ИС с использованием архитектуры ESB и ETL. Построение распределенных приложений. Разработка проектной документации...,"Уверенное владение Python (в т.ч. библиотеками NumPy, Pandas, scikit-learn). Опыт работы и понимание реляционных БД – [PostgreSQL, MS SQL...",https://hh.ru/vacancy/41428255
22,"Разработчик Frontend для SAP (SAP Fiori, UI / UX) [id 68702]",,"Участие в проектной деятельности SAP. Участие в пресейл-процессах, оценке и планировании новых активностей. Модернизация интерфейса SAP. Реализация запросов на...",Опыт разработки пользовательских интерфейсов от 3-х лет. Понимание принципов верстки HTML/CSS/JS. Front-end разработка с пониманием Back...,https://hh.ru/vacancy/41449547
23,Корпоративный архитектор [id73423],,"Внедрение лучших архитектурных практик, повышение уровня зрелости управления корпоративной архитектурой. Проведение аудита текущей ИТ-архитектуры. Формирование стратегии развития ИТ-Архитектуры...","Понимания основных направлений и трендов развития ИТ - архитектуры, плюсов и минусов различных подходов к построению корпоративной архитектуры. Знания современных технологий...",https://hh.ru/vacancy/41453193
24,FrontEnd разработчик (VUE) [id79067],,Разработка front-end программных модулей с учётом современных и перспективных технологий Vue с учетом типизации данных. Разработка юнит-тестов с...,"Высшее образование в сфере информационных технологий, прикладной математики. Опыт разработки front-end приложений с использованием Vue от 3 лет. ",https://hh.ru/vacancy/41488558
25,Электрослесарь по ремонту оборудования (г. Долгопрудный),34900,53200,"Обеспечение безаварийной эксплуатации тепловых электроустановок, тепловых сетей, сетей водоснабжения и канализации нефтебазы. Формирование перечня запасных частей и материалов, необходимых для...",Образование: средне-специальное/высшее (электротехническое). Опыт работы в аналогичных должностях от 2 лет. Желательно наличие не ниже 3 группы допуска...,https://hh.ru/vacancy/41525738
26,Эксперт ARIS [id78381],,Администрирование системы ARIS. Разработка скриптов ARIS. Развитие методологии моделирования. Обеспечение качества данных. Постановка задач на разработку аналитических отчетов. ,Высшее образование. Опыт моделирования бизнес-процессов. Опыт создания Соглашений о моделировании. Знание методологии ARIS. Опыт администрирования ARIS. Опыт разработки скриптов...,https://hh.ru/vacancy/41539709
27,«Инженер электротехнической группы [id88722]»,,"Разрабатывать рабочую документацию по электрообогреву технологического оборудования и трубопроводов (частях ЭМ, ЭН, ЭО, ЭГ для опасных производственных объектов). ","Профильное высшее образование (электротехника). Опыт работы не менее 5 лет в проектной организации. Знание ГОСТ, СП, ПУЭ и др. ",https://hh.ru/vacancy/41540238
28,Системный инженер [id74027],,"Администрирование промышленной среды системы управления правами доступа: мониторинг, установка обновлений, устранение неполадок, обеспечение непрерывности, анализ метрик, оптимизация компонентов - JVM, Postgres...",Опыт администрирования Linux от 3 лет. Опыт администрирования серверов приложений Java от 1 года. Понимание работы JVM. Понимание работы SQL...,https://hh.ru/vacancy/41591255
